id,site_code,X,Y,lon,lat,Aclay_base_altitude,gse,depth_to_base_Aclay,thickness_Aclay
4797,367646N1202604W001,744536.0197,4072259.347,-120.260387,36.764595,101,163.1,62.1,16.27
4798,367688N1202599W001,744567.3079,4072726.679,-120.259887,36.768795,101,163.1,62.1,16.29
4799,367705N1202691W001,743740.6027,4072891.829,-120.269087,36.770495,101,163.1,62.1,16.58
5028,367455N1203174W001,739506.5875,4069995.715,-120.317387,36.745495,100,166.8,66.8,18.1
5029,367560N1203149W002,739697.1426,4071167.092,-120.314887,36.755995,100,163.1,63.1,17.87
5030,367538N1203185W001,739382.549,4070913.958,-120.318487,36.753795,100,163.1,63.1,17.96
5031,367560N1203221W001,739054.2723,4071149.074,-120.322087,36.755995,100,163.1,63.1,17.95
5038,367602N1203138W002,739782.2736,4071635.896,-120.313787,36.760195,100,163.1,63.1,17.78
5045,367630N1202857W002,742282.3115,4072017.411,-120.285687,36.762995,100,163.1,63.1,17.09
5056,367430N1202671W001,744006.3142,4069845.397,-120.267087,36.742995,100,168.2,68.2,16.32
5064,367260N1202418W001,746320.0626,4068023.808,-120.241787,36.725995,104,167.9,63.9,14.75
5065,367385N1202327W001,747092.8135,4069434.332,-120.232687,36.738495,105,172.7,67.7,14.71
5066,367452N1202463W001,745856.8119,4070142.766,-120.246287,36.745195,103,169.3,66.3,15.45
5067,367413N1202504W001,745503.1092,4069699.475,-120.250387,36.741295,102,168,66,15.55
5068,367485N1202516W001,745372.9964,4070495.345,-120.251587,36.748495,102,171.5,69.5,15.74
5075,367463N1202324W001,747094.5762,4070300.637,-120.232387,36.746295,105,172.9,67.9,14.91
5981,367492N1203886W001,733137.2937,4070230.414,-120.388587,36.749195,100,177.6,77.6,17.29
5992,367556N1203733W001,734483.9998,4070977.962,-120.373287,36.755595,100,163.1,63.1,17.54
5993,367552N1203732W001,734494.147,4070933.823,-120.373187,36.755195,100,163.1,63.1,17.54
5994,367458N1203688W001,734915.6918,4069901.574,-120.368787,36.745795,100,167.5,67.5,17.7
6003,367198N1203693W001,734950.3231,4067015.34,-120.369287,36.719795,100,169.4,69.4,17.63
6004,367198N1203524W001,736459.9784,4067056.946,-120.352387,36.719795,100,161.9,61.9,17.84
6426,367491N1203883W001,733164.3847,4070220.049,-120.388287,36.749095,100,177.3,77.3,17.3
6427,367493N1203932W001,732726.2392,4070230.312,-120.393187,36.749295,100,179.5,79.5,17.2
6446,367705N1203029W001,740723.2306,4072806.206,-120.302887,36.770495,100,163.1,63.1,17.43
7158,367813N1203736W001,734378.9107,4073828.956,-120.373587,36.781295,100,163.1,63.1,17.13
7159,367816N1203730W001,734431.5504,4073863.716,-120.372987,36.781595,100,163.1,63.1,17.14
7160,367807N1203722W001,734505.7002,4073765.812,-120.372187,36.780695,100,163.1,63.1,17.17
7161,367807N1203722W002,734505.7002,4073765.812,-120.372187,36.780695,100,163.1,63.1,17.17
7162,367807N1203722W003,734505.7002,4073765.812,-120.372187,36.780695,100,163.1,63.1,17.17
7167,367100N1202400W001,746532.0192,4066253.002,-120.239987,36.709995,104,164.2,60.2,14.19
7168,367200N1202100W001,749179.9788,4067440.319,-120.209987,36.719995,112,177.5,65.5,13.11
1071,367052N1201732W001,752515.8768,4065894.434,-120.173187,36.705195,120,183.3,63.3,11.68
