Field1,site_code,X,Y,lon,lat,AmnicolaClaystone-Depth2top,AmnicolaClaystone-thickness
29116,353837N1193955W001,827446.6631,3921563.535,-119.395488,35.383695,1749.211,59.97975
29120,353985N1193983W001,827132.3147,3923196.701,-119.398287,35.398495,1625.526,55.53384
29124,353332N1193614W001,830752.0417,3916072.771,-119.361388,35.333195,1302.332,23.626
29128,353227N1193243W001,834169.2753,3915032.217,-119.324287,35.322695,979.5,39.07652
29132,352296N1193432W001,832831.5926,3904636.572,-119.343187,35.229595,1027.4,46.58446
29136,352296N1193432W003,832831.5926,3904636.572,-119.343187,35.229595,1027.4,46.58446
29140,352274N1193482W001,832385.2892,3904375.651,-119.348187,35.227395,1135.642,52.35748
29144,352249N1193536W002,831903.76,3904080.121,-119.353588,35.224895,1289.681,57.96439
29148,353247N1192534W001,840609.6228,3915496.026,-119.253388,35.324695,790.1952,28.28044
29152,353251N1192366W001,842135.9758,3915598.407,-119.236587,35.325095,729.074,26.15984
29156,353542N1192173W001,843767.8952,3918894.949,-119.217287,35.354195,760.6322,21.96282
29160,351953N1193551W001,831887.8163,3900790.218,-119.355087,35.195295,1710.295,65.66883
29164,351953N1193551W002,831887.8163,3900790.218,-119.355087,35.195295,1710.295,65.66883
29168,351953N1193550W002,831896.9259,3900790.552,-119.354987,35.195295,1709.929,65.60606
29172,351520N1193323W001,834142.2681,3896061.441,-119.332288,35.151995,688.0386,90.29927
29176,351522N1193070W001,836447.4463,3896169.037,-119.306988,35.152195,1331.818,77.62305
29192,351366N1192605W001,840750.9374,3894596.264,-119.260488,35.136595,2208.401,54.85612
29196,351898N1192361W001,842751.6955,3900584.367,-119.236087,35.189795,1643.403,44.00408
29200,351399N1192429W002,842341.6171,3895022.996,-119.242888,35.139895,2448.754,43.11077
29204,351373N1192354W001,843036.2656,3894760.316,-119.235388,35.137295,2464.75,40.94606
37352,356461N1197213W001,796869.6029,3949649.702,-119.721287,35.646095,1069.4,60.77882
37376,356575N1196132W001,806617.4555,3951247.065,-119.613187,35.657495,1705.568,42.968
37416,355511N1196072W001,807568.3848,3939458.578,-119.607187,35.551095,1548.316,154.3048
37432,355650N1195802W001,809963.3542,3941085.813,-119.580187,35.564995,1696.11,114.3636
37484,355289N1195466W001,813150.5192,3937186.137,-119.546588,35.528895,1251.548,15.16694
40180,357319N1197895W001,790380.7973,3958966.406,-119.789487,35.731895,1047.871,125.4213
40188,357030N1197561W001,793508.8609,3955858.986,-119.756087,35.702995,1310.092,195.5526
40192,357033N1197256W001,796268.3461,3955984.017,-119.725587,35.703295,1601.387,63.38344
40204,356672N1196906W001,799571.3906,3952084.398,-119.690587,35.667195,1456.865,107.0418
40208,357236N1196241W001,805377.8404,3958548.235,-119.624087,35.723595,1394.897,39.54057
40212,357181N1195985W001,807715.61,3958017.981,-119.598487,35.718095,822.1823,49.18648
40308,356139N1196178W001,806367.4478,3946394.394,-119.617787,35.613895,1742.992,65.78034
40340,355669N1196200W001,806347.3673,3941171.957,-119.619987,35.566895,1636.786,146.7236
40428,354875N1195822W001,810080.4693,3932479.305,-119.582188,35.487495,2006.601,109.0523
40476,354405N1195606W001,812222.7668,3927331.878,-119.560587,35.440495,2979.073,229.1215
40480,354411N1195367W001,814390.8909,3927474.365,-119.536687,35.441095,2965.07,208.1634
40536,354239N1194384W001,823386.9341,3925883.342,-119.438388,35.423895,1654.581,88.60583
40588,354277N1193977W001,827068.6182,3926439.197,-119.397688,35.427695,1619.089,51.8189
40616,353842N1194585W001,821719.094,3921412,-119.458488,35.384195,2408.544,90.88093
40620,354203N1193942W001,827416.5321,3925629.578,-119.394188,35.420295,1634.658,48.84582
40652,353744N1194997W001,818013.3547,3920191.072,-119.499687,35.374395,2543.228,56.21274
40684,353536N1194610W001,821613.4589,3918008.079,-119.460988,35.353595,2139.223,84.6207
