OBJECTID__,id,site_code,X,Y,lon,lat,Cclay_base_altitude,thickness_Cclay,gse
30,1556,366933N1203693W001,735031.0784,4064074.862,-120.369287,36.693295,-69.63367,16.71287,174.5625712
359,3643,367055N1203694W001,734984.9722,4065428.345,-120.369387,36.705495,-69.61193,17.10933,171.8301236
665,6002,367052N1203694W002,734985.8864,4065395.056,-120.369387,36.705195,-69.60463,17.1223,172.0666394
744,6434,367052N1203694W001,734985.8864,4065395.056,-120.369387,36.705195,-69.60463,17.1223,172.0666394
141,2013,361539N1196104W001,804957.5694,4006343.264,-119.610387,36.153895,-69.455,23.89594,213.2095213
362,3646,367050N1203696W001,734968.6267,4065372.373,-120.369587,36.704995,-69.38865,17.13407,172.1095856
381,3700,366614N1203481W001,737023.4288,4060587.41,-120.348087,36.661395,-69.2803,13.57054,171.1014819
29,1555,366883N1203693W002,735046.3096,4063520.056,-120.369287,36.688295,-69.15848,16.02304,175.7185096
507,5015,366883N1203693W001,735046.3096,4063520.056,-120.369287,36.688295,-69.15848,16.02304,175.7185096
699,6168,362500N1198310W001,784755.4286,4016336.376,-119.830987,36.249995,-69.14216,22.07679,211.6401643
757,6525,362500N1198310W002,784755.4286,4016336.376,-119.830987,36.249995,-69.14216,22.07679,211.6401643
715,6200,358700N1195110W001,815033.2036,3975153.591,-119.510987,35.869995,-68.99386,19.83029,213.6251709
716,6201,358911N1194866W001,817152.9547,3977574.245,-119.486587,35.891095,-68.80012,14.31171,212.7465947
533,5139,361889N1197082W001,796023.8162,4009924.229,-119.708187,36.188895,-68.78234,44.57436,212.0270409
113,1936,362397N1197991W001,787660.5332,4015287.714,-119.799087,36.239695,-68.62295,21.7644,216.2389833
529,5133,362108N1197263W001,794313.4889,4012299.405,-119.726287,36.210795,-68.20728,25.0015,216.6851119
541,5159,361750N1196454W001,801726.5783,4008575.354,-119.645387,36.174995,-67.5703,32.28235,212.8313716
380,3699,366627N1203517W001,736697.6167,4060722.765,-120.351687,36.662695,-67.55766,13.60876,172.3457404
122,1951,362267N1197518W001,791961.0675,4013986.685,-119.751787,36.226695,-67.55264,21.12188,219.2514506
816,6950,361753N1196460W001,801671.4416,4008606.779,-119.645987,36.175295,-67.49272,32.76913,212.8313716
619,5557,362397N1197927W001,788235.8722,4015306.754,-119.792687,36.239695,-67.40971,21.71049,215.7691342
671,6014,366908N1203717W001,734824.225,4063791.574,-120.371687,36.690795,-66.98673,16.31835,177.5036802
379,3698,366617N1203517W002,736700.6813,4060611.804,-120.351687,36.661695,-66.9621,13.6138,172.4376696
680,6039,366617N1203517W001,736700.6813,4060611.804,-120.351687,36.661695,-66.9621,13.6138,172.4376696
663,6000,367037N1203719W001,734767.089,4065222.483,-120.371887,36.703695,-66.87148,17.19373,173.7073546
363,3647,367030N1203719W001,734769.2199,4065144.81,-120.371887,36.702995,-66.81942,17.21053,173.7500056
741,6426,367491N1203883W001,733164.3847,4070220.049,-120.388287,36.749095,-66.80896,15.90152,177.2847498
348,3608,367491N1203884W001,733155.4553,4070219.806,-120.388387,36.749095,-66.77334,15.90548,177.2834702
97,1754,361750N1196368W001,802500.3658,4008602.16,-119.636787,36.174995,-66.74963,28.07515,212.8313716
659,5981,367492N1203886W001,733137.2937,4070230.414,-120.388587,36.749195,-66.72939,15.90655,177.5973154
801,6911,362553N1198513W001,782911.6574,4016864.973,-119.851287,36.255295,-66.72514,23.22215,207.8935762
295,2960,358789N1194832W001,817508.7654,3976231.367,-119.483187,35.878895,-66.45845,11.68915,212.752369
137,2008,361744N1196282W001,803276.4709,4008562.449,-119.628187,36.174395,-66.2239,24.56688,212.9809779
682,6041,366614N1203532W001,736567.5057,4060574.813,-120.353187,36.661395,-65.84686,13.6465,173.4204124
81,1715,362186N1197260W001,794311.2135,4013165.912,-119.725987,36.218595,-65.67123,23.25279,221.1883273
231,2522,358181N1195785W001,809137.7701,3969178.313,-119.578487,35.818095,-65.63113,41.97503,209.823924
86,1720,362108N1197177W001,795086.9033,4012325.574,-119.717687,36.210795,-65.6144,27.27628,217.8182484
762,6548,358642N1195043W001,815661.4409,3974531.564,-119.504287,35.864195,-65.59732,17.19535,212.8195606
742,6427,367493N1203932W001,732726.2392,4070230.312,-120.393187,36.749295,-65.4278,15.99083,179.5446908
701,6170,362400N1197810W001,789286.5596,4015374.953,-119.780987,36.239995,-65.21393,21.60957,218.0302891
405,3834,361894N1198879W001,779857.1156,4009445.757,-119.887887,36.189395,-64.8049,29.90088,217.8926579
85,1719,362017N1197066W001,796119.4772,4011349.587,-119.706587,36.201695,-64.5056,35.12057,215.7608993
397,3823,362503N1198713W001,781132.051,4016251.833,-119.871287,36.250295,-64.46564,26.267,215.0699872
353,3626,367345N1203806W001,733896.2868,4068618.802,-120.380587,36.734495,-64.37706,16.12094,175.0853402
673,6021,366763N1203698W001,735038.1676,4062187.297,-120.369787,36.676295,-64.25632,14.30749,178.9993496
351,3624,367200N1203763W001,734324.4158,4067020.377,-120.376287,36.719995,-63.98221,16.5305,173.6388179
378,3696,366540N1203517W001,736724.2762,4059757.403,-120.351687,36.653995,-63.91463,13.59425,174.0780896
343,3595,367517N1204048W001,731683.2104,4070468.465,-120.404787,36.751695,-63.74914,15.9657,183.45975
622,5563,362269N1197304W001,793884.4591,4014073.629,-119.730387,36.226895,-63.48061,21.53957,219.3837341
344,3596,367491N1204038W001,731780.3283,4070182.388,-120.403787,36.749095,-63.32688,15.97896,184.7334377
424,3877,359300N1194810W001,817502.9502,3981909.534,-119.480987,35.929995,-63.28735,22.0671,202.6149999
183,2287,362278N1197310W001,793827.1398,4014171.684,-119.730987,36.227795,-63.187,21.48593,218.535112
66,1697,362550N1198691W001,781312.9222,4016779.783,-119.869087,36.254995,-62.59738,25.89037,214.393478
400,3827,361970N1198870W001,779910.9876,4010291.715,-119.886987,36.196995,-62.11542,29.59164,216.8312405
416,3855,360900N1198810W001,780832.2571,3998435.524,-119.880987,36.089995,-62.06832,50.70784,183.8931489
25,1542,367172N1203785W001,734136.3991,4066704.303,-120.378487,36.717195,-61.97271,16.57933,175.4173284
361,3645,367054N1203786W001,734163.3015,4065394.715,-120.378587,36.705395,-61.80433,17.01954,177.1465608
144,2145,364880N1200488W001,764371.947,4042127.328,-120.048787,36.487995,-61.51383,16.14657,194.9195929
109,1927,362667N1198352W001,784317.313,4018177.235,-119.835187,36.266695,-61.30729,22.29367,212.7528283
410,3843,361652N1199057W001,778341.6645,4006709.094,-119.905687,36.165195,-61.28025,33.00008,223.95962
696,6164,361900N1198910W001,779576.129,4009503.391,-119.890987,36.189995,-61.19419,30.32241,220.3894756
270,2837,362258N1198871W001,779799.3142,4013487.314,-119.887087,36.225795,-60.9401,28.99976,213.7702496
634,5610,358653N1194696W001,818791.6696,3974766.386,-119.469587,35.865295,-60.87577,10.73481,208.1334384
19,1322,367422N1204043W001,731756.447,4069415.545,-120.404287,36.742195,-60.68228,15.99136,186.8941661
693,6160,362263N1198873W001,779779.549,4013542.221,-119.887287,36.226295,-60.64548,29.03203,216.9245476
65,1696,362639N1198688W001,781307.9309,4017768.285,-119.868787,36.263895,-60.40797,25.51879,213.7394753
135,2004,361964N1196366W001,802435.9558,4010977.679,-119.636587,36.196395,-60.32393,27.83931,216.8276644
267,2834,362189N1198871W001,779823.9209,4012721.632,-119.887087,36.218895,-60.28667,29.14967,215.5563389
268,2835,362186N1198871W001,779824.9906,4012688.341,-119.887087,36.218595,-60.25112,29.15364,215.5503022
161,2265,362014N1198871W001,779886.3108,4010779.686,-119.887087,36.201395,-60.04683,29.53513,217.4966277
162,2266,362014N1198871W002,779886.3108,4010779.686,-119.887087,36.201395,-60.04683,29.53513,217.4966277
690,6155,362896N1198725W001,780883.2214,4020609.452,-119.872487,36.289595,-60.03277,25.35147,217.7937078
791,6880,362991N1198870W001,779546.645,4021621.633,-119.886987,36.299095,-59.80104,25.85895,213.0328152
160,2264,362031N1198871W001,779880.2512,4010968.332,-119.887087,36.203095,-59.31905,29.49222,217.2749413
505,4861,362019N1196332W001,802720.5816,4011598.67,-119.633187,36.201895,-59.22888,<Null>,219.4164768
62,1693,362844N1198874W001,779563.2194,4019989.226,-119.887387,36.284395,-59.22034,27.20708,219.1492852
499,4851,362844N1198877W001,779536.2666,4019988.359,-119.887687,36.284395,-59.15378,27.21052,219.2535503
417,3857,362000N1196410W001,802026.324,4011363.466,-119.640987,36.199995,-59.11443,27.59762,218.0443967
219,2444,364591N1200135W001,767634.4484,4039017.905,-120.013487,36.459095,-59.07636,16.13726,197.9794027
63,1694,363072N1198874W001,779481.7755,4022519.33,-119.887387,36.307195,-59.04483,25.12335,213.071201
269,2836,362111N1198866W001,779896.6958,4011857.523,-119.886587,36.211095,-58.91869,29.22633,217.6275332
271,2849,362042N1198871W001,779876.3301,4011090.397,-119.887087,36.204195,-58.86901,29.46975,217.1032222
107,1925,362267N1198888W001,779643.2587,4013582.275,-119.888787,36.226695,-58.77187,29.24733,218.158045
350,3623,367200N1203888W001,733207.8154,4066989.856,-120.388787,36.719995,-58.74018,16.33246,181.1719218
283,2917,361231N1199138W001,777761.3982,4002014.179,-119.913787,36.123095,-58.61107,46.69945,215.5586027
108,1926,362942N1198432W001,783498.8015,4021205.443,-119.843187,36.294195,-58.60958,22.55875,214.6969885
346,3606,367350N1204050W001,731715.5947,4068614.931,-120.404987,36.734995,-58.58925,15.99983,190.0670993
92,1726,361967N1196649W001,799889.2129,4010922.993,-119.664887,36.196695,-58.56924,35.52078,213.0900331
96,1734,362006N1196463W001,801547.303,4011413.54,-119.646287,36.200595,-58.53165,29.16446,217.5548954
