id,site_code,X,Y,lon,lat,Depth_2top_Eclay,Thickness_Eclay
908,370202N1205349W001,719296.7983,4099954.095,-120.534887,37.020195,215.261,77.4473
7068,377402N1214508W001,636499.434,4178119.441,-121.450787,37.740195,215.545,184.326
7069,377402N1214508W002,636499.434,4178119.441,-121.450787,37.740195,215.545,184.326
7070,377402N1214508W003,636499.434,4178119.441,-121.450787,37.740195,215.545,184.326
1507,370602N1205918W001,714121.6889,4104262.828,-120.591787,37.060195,215.706,68.1711
2972,359675N1192778W001,835685.5759,3986752.574,-119.277788,35.967495,215.936,47.4437
2015,362814N1193852W001,824698.1859,4021225.784,-119.385187,36.281395,216.005,27.4869
5137,363856N1194824W001,815542.7151,4032468.151,-119.482387,36.385595,216.352,53.5079
1209,370743N1206268W001,710970.1527,4105749.062,-120.626787,37.074295,216.634,50.2161
855,371180N1207077W001,703660.2835,4110421.347,-120.707687,37.117995,217.103,56.2153
1964,364231N1195291W001,811202.2035,4036478.202,-119.529087,36.423095,217.122,38.8771
60,375721N1213139W001,648897.812,4159675.94,-121.313887,37.572095,217.297,44.4906
2512,361381N1193045W001,832556.8605,4005595.24,-119.304487,36.138095,217.363,53.3523
3260,359281N1192328W001,839914.7237,3982535.697,-119.232788,35.928095,217.413,60.0648
1996,363861N1194852W001,815289.4289,4032514.484,-119.485187,36.386095,217.45,53.3106
1295,369705N1203829W001,732972.9623,4094800.506,-120.382887,36.970495,217.966,75.2703
1166,369907N1208827W001,688425.073,4095935.476,-120.882687,36.990695,217.97,57.0471
2885,356194N1195671W001,810940.3982,3947164.04,-119.567087,35.619395,218.058,36.5486
1212,368716N1207366W001,701742.5388,4083019.843,-120.736587,36.871595,218.077,70
4800,369096N1201468W001,754197.429,4088646.39,-120.146787,36.909595,218.485,11.7448
888,370241N1205510W001,717853.153,4100349.836,-120.550987,37.024095,218.517,79.4788
4594,372157N1208532W001,690486.1336,4120959.517,-120.853187,37.215695,218.566,91.368
4359,375949N1212196W001,657177.9985,4162359.45,-121.219587,37.594895,218.657,10
4052,377157N1213686W001,643789.8438,4175524.045,-121.368587,37.715695,218.695,82.5367
